10,Montgomery,Alabama,MGM,0,70
9,Mobile,Alabama,MOB,0.08,82
8,Charleston,South Carolina,CHS,0.03,85
12,Alma,Georgia,AMG,0,54
6,Hickory,North Carolina,HKY,0.18,75
9,Birmingham,Alabama,BHM,0.01,81
1,Savannah,Georgia,SAV,1.82,48
3,Atlanta,Georgia,ATL,0,65
12,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,1.15,38
9,Nashville,Tennessee,BNA,0,78
4,Anderson,South Carolina,AND,0.5,54
9,Raleigh/Durham,North Carolina,RDU,0.06,78
7,Greensboro,North Carolina,GSO,0.12,81
9,Louisville,Kentucky,SDF,0.47,80
10,Macon,Georgia,MCN,0,68
7,Tallahassee,Florida,TLH,2.76,83
5,Atlanta,Georgia,ATL,0.06,70
7,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,1.31,81
2,Knoxville,Tennessee,TYS,0.14,29
10,Greer,South Carolina,GSP,0.44,68
12,Columbia,South Carolina,CAE,1.32,50
7,Greer,South Carolina,GSP,1.46,82
6,Paducah,Kentucky,PAH,0.04,74
5,West Palm Beach,Florida,PBI,3.71,81
3,Memphis,Tennessee,MEM,10.58,63
1,Covington,Kentucky,CVG,0.79,35
5,Mobile,Alabama,MOB,2.3,75
5,Mobile,Alabama,MOB,0.06,68
2,Savannah,Georgia,SAV,2.99,53
1,Hickory,North Carolina,HKY,0,43
10,Huntsville,Alabama,HSV,0,69
1,Nashville,Tennessee,BNA,0.08,45
7,Alma,Georgia,AMG,0.18,84
11,Alma,Georgia,AMG,0,58
4,Tampa,Florida,TPA,0.68,73
3,Macon,Georgia,MCN,0.36,66
7,Savannah,Georgia,SAV,0.12,86
3,Athens,Georgia,AHN,1.14,50
1,Vero Beach,Florida,VRB,2.32,61
10,West Palm Beach,Florida,PBI,0.8,78
10,Memphis,Tennessee,MEM,0.02,74
1,Nashville,Tennessee,BNA,1.22,50
1,Jackson,Kentucky,JKL,0,37
2,Covington,Kentucky,CVG,1.73,38
8,Charlotte,North Carolina,CLT,0.39,81
11,Gainesville,Florida,GNV,0.02,71
3,Mobile,Alabama,MOB,4.44,67
7,Augusta,Georgia,AGS,0.02,83
1,Montgomery,Alabama,MGM,0,45
12,Lexington,Kentucky,LEX,0.08,40
10,Tampa,Florida,TPA,0,75
2,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,1.58,43
6,Vero Beach,Florida,VRB,0.22,81
1,Jacksonville,Florida,JAX,0.21,60
10,Augusta,Georgia,AGS,0,68
4,Memphis,Tennessee,MEM,1.7,62
1,Charlotte,North Carolina,CLT,0.05,44
6,Lexington,Kentucky,LEX,0.07,71
1,Tampa,Florida,TPA,1.19,63
12,Miami,Florida,MIA,0.16,78
9,Jackson,Kentucky,JKL,0.17,76
1,Nashville,Tennessee,BNA,0,39
9,Columbia,South Carolina,CAE,4.57,78
2,Greensboro,North Carolina,GSO,1.46,46
8,Savannah,Georgia,SAV,0.17,85
11,Wilmington,North Carolina,ILM,0,50
11,Key West,Florida,EYW,0.03,75
1,Charleston,South Carolina,CHS,0.55,53
3,Crossville,Tennessee,CSV,0.79,54
3,Cape Hatteras,North Carolina,HSE,1.04,60
9,West Palm Beach,Florida,PBI,1.07,83
2,Gainesville,Florida,GNV,0.39,59
4,Fort Lauderdale,Florida,FLL,0,80
10,Tampa,Florida,TPA,0.63,81
6,Greensboro,North Carolina,GSO,1.1,78
9,Birmingham,Alabama,BHM,0,82
12,Miami,Florida,MIA,0.04,78
9,Montgomery,Alabama,MGM,2.24,83
12,Memphis,Tennessee,MEM,0.49,46
10,Orlando,Florida,MCO,0.16,77
12,Atlanta,Georgia,ATL,0.2,47
6,Memphis,Tennessee,MEM,0.25,80
5,Greensboro,North Carolina,GSO,2.72,61
1,Pensacola,Florida,PNS,2.06,44
5,Greer,South Carolina,GSP,2.88,64
9,Knoxville,Tennessee,TYS,0,78
12,West Palm Beach,Florida,PBI,0.05,75
5,Paducah,Kentucky,PAH,2.5,64
12,Augusta,Georgia,AGS,1.25,53
8,Jacksonville,Florida,JAX,0.36,82
10,Alma,Georgia,AMG,0,67
4,Knoxville,Tennessee,TYS,0.71,50
12,Nashville,Tennessee,BNA,2.39,39
10,Anderson,South Carolina,AND,0,66
4,Louisville,Kentucky,SDF,0.82,60
6,Greensboro,North Carolina,GSO,0.1,76
6,Key West,Florida,EYW,0.6,82
6,Pensacola,Florida,PNS,0.34,82
11,Charleston,South Carolina,CHS,0,56
3,Atlanta,Georgia,ATL,0.01,64
5,Macon,Georgia,MCN,1.63,71
1,Greer,South Carolina,GSP,0.5,40
1,Asheville,North Carolina,AVL,1.56,28
10,Knoxville,Tennessee,TYS,0,66
11,Montgomery,Alabama,MGM,0,61
8,Jackson,Kentucky,JKL,0,77
12,Key West,Florida,EYW,0.13,78
4,Crossville,Tennessee,CSV,0.84,48
3,Athens,Georgia,AHN,0.6,58
7,Alma,Georgia,AMG,0.02,84
5,Columbia,South Carolina,CAE,0.07,74
4,Tampa,Florida,TPA,0.7,71
9,Paducah,Kentucky,PAH,0.14,78
5,Paducah,Kentucky,PAH,1.9,73
1,Orlando,Florida,MCO,0.14,65
6,Tampa,Florida,TPA,1.74,83
5,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.93,62
1,Augusta,Georgia,AGS,0.73,44
1,Augusta,Georgia,AGS,0.16,45
3,Pensacola,Florida,PNS,1.62,68
7,Columbia,South Carolina,CAE,0.03,89
10,Fort Lauderdale,Florida,FLL,0.11,79
10,Anderson,South Carolina,AND,0,65
11,Alma,Georgia,AMG,0.02,56
5,West Palm Beach,Florida,PBI,0,81
12,Crossville,Tennessee,CSV,1.97,35
10,Daytona Beach,Florida,DAB,0.01,72
9,Pensacola,Florida,PNS,1.32,83
2,Charlotte,North Carolina,CLT,0.74,49
10,Louisville,Kentucky,SDF,0.65,67
7,Lexington,Kentucky,LEX,0.98,78
11,Fort Lauderdale,Florida,FLL,0,75
1,Macon,Georgia,MCN,0.01,47
5,Mobile,Alabama,MOB,0,75
4,West Palm Beach,Florida,PBI,0.01,73
6,Montgomery,Alabama,MGM,0.36,81
11,Chattanooga,Tennessee,CHA,0,66
8,Athens,Georgia,AHN,0.21,83
4,Macon,Georgia,MCN,0.28,64
2,Charleston,South Carolina,CHS,1.18,55
1,Wilmington,North Carolina,ILM,0.83,51
3,Covington,Kentucky,CVG,1.78,58
1,Tampa,Florida,TPA,2.55,60
8,Clarksville,Tennessee,CKV,0.28,80
3,Gainesville,Florida,GNV,0.87,64
7,Charleston,South Carolina,CHS,0,85
11,Covington,Kentucky,CVG,0.14,47
11,Knoxville,Tennessee,TYS,0,64
1,Jackson,Kentucky,JKL,2.27,19
10,Charlotte,North Carolina,CLT,0,62
4,Clarksville,Tennessee,CKV,0.51,59
10,Jacksonville,Florida,JAX,0,69
7,Nashville,Tennessee,BNA,0.26,81
4,Miami,Florida,MIA,0.03,76
6,Columbia,South Carolina,CAE,0.16,84
2,Cape Hatteras,North Carolina,HSE,0.53,36
8,Knoxville,Tennessee,TYS,1,80
11,Mobile,Alabama,MOB,0.51,62
1,Savannah,Georgia,SAV,0.14,49
3,Covington,Kentucky,CVG,0.59,35
4,Chattanooga,Tennessee,CHA,0.39,61
6,Augusta,Georgia,AGS,0,82
8,Atlanta,Georgia,ATL,0.44,82
6,Key West,Florida,EYW,0.17,85
3,Clarksville,Tennessee,CKV,3.94,61
7,Vero Beach,Florida,VRB,0.01,83
5,Charlotte,North Carolina,CLT,2.59,64
2,Orlando,Florida,MCO,0.52,62
8,Chattanooga,Tennessee,CHA,1.17,82
4,Asheville,North Carolina,AVL,0,53
2,Memphis,Tennessee,MEM,0.11,39
5,Tallahassee,Florida,TLH,0,76
1,Vero Beach,Florida,VRB,4,62
3,Daytona Beach,Florida,DAB,0.01,63
12,Paducah,Kentucky,PAH,2.61,34
9,Gainesville,Florida,GNV,1.99,81
2,Lexington,Kentucky,LEX,0.52,23
2,Clarksville,Tennessee,CKV,0.27,28
2,Paducah,Kentucky,PAH,1.49,43
10,Key West,Florida,EYW,0.27,85
11,Tampa,Florida,TPA,0,68
6,Macon,Georgia,MCN,0.49,79
12,Tallahassee,Florida,TLH,2.87,56
7,Tampa,Florida,TPA,1.87,84
10,Covington,Kentucky,CVG,0,58
1,Charleston,South Carolina,CHS,0,48
2,Alma,Georgia,AMG,0.04,46
4,Orlando,Florida,MCO,0.08,70
8,Miami,Florida,MIA,7.69,83
4,Fort Lauderdale,Florida,FLL,0,77
1,Mobile,Alabama,MOB,2.53,47
1,Jacksonville,Florida,JAX,0.21,53
7,Tampa,Florida,TPA,1.06,84
12,Jackson,Kentucky,JKL,1.03,39
6,Raleigh/Durham,North Carolina,RDU,0.55,75
6,Pensacola,Florida,PNS,1.09,83
4,Athens,Georgia,AHN,0.04,67
4,Jacksonville,Florida,JAX,0.58,68
12,Montgomery,Alabama,MGM,0.59,52
3,Greensboro,North Carolina,GSO,0.22,59
10,Pensacola,Florida,PNS,0,73
4,Greensboro,North Carolina,GSO,0.38,50
4,Orlando,Florida,MCO,0.41,73
12,Gainesville,Florida,GNV,0.11,60
12,Memphis,Tennessee,MEM,1.88,40
10,Vero Beach,Florida,VRB,3.68,80
1,Tallahassee,Florida,TLH,1.69,51
8,Mobile,Alabama,MOB,2.38,81
6,Covington,Kentucky,CVG,0.62,70
3,Macon,Georgia,MCN,0.01,65
5,Key West,Florida,EYW,1.64,81
4,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.56,62
1,Paducah,Kentucky,PAH,0,36
3,Raleigh/Durham,North Carolina,RDU,0.89,65
3,Covington,Kentucky,CVG,1.41,51
12,Montgomery,Alabama,MGM,0,53
3,Gainesville,Florida,GNV,0.15,58
11,Raleigh/Durham,North Carolina,RDU,0.06,48
1,Charlotte,North Carolina,CLT,0,43
9,Hickory,North Carolina,HKY,0,76
2,Jacksonville,Florida,JAX,0.89,58
1,Paducah,Kentucky,PAH,1.61,45
8,Lexington,Kentucky,LEX,0,78
9,Louisville,Kentucky,SDF,0.21,77
3,Pensacola,Florida,PNS,3.69,62
7,Memphis,Tennessee,MEM,2.88,84
1,Anderson,South Carolina,AND,0.35,50
2,Savannah,Georgia,SAV,0.1,56
3,Lexington,Kentucky,LEX,1.49,61
12,Raleigh/Durham,North Carolina,RDU,0.97,41
3,Key West,Florida,EYW,0.11,75
6,Mobile,Alabama,MOB,4.03,78
11,Charleston,South Carolina,CHS,0.11,55
10,Raleigh/Durham,North Carolina,RDU,0,61
9,Clarksville,Tennessee,CKV,0,76
10,Gainesville,Florida,GNV,0,70
6,Paducah,Kentucky,PAH,0.13,84
7,Knoxville,Tennessee,TYS,3.71,80
3,Athens,Georgia,AHN,0.12,65
1,Mobile,Alabama,MOB,0.13,49
5,Athens,Georgia,AHN,0.04,75
6,Savannah,Georgia,SAV,1.76,83
12,Covington,Kentucky,CVG,2.36,28
